Value,Value,Value,Value,Value
0.197462738,0.205716282,0.11401356,4.07E-06,0.103055723
0.205888227,0.206708297,0.112506531,3.92E-06,0.096734926
0.21738559,0.211378589,0.115713395,3.54E-06,0.1026875
0.209057808,0.211343169,0.115412124,3.27E-06,0.10093344
0.210460514,0.201555997,0.115063146,3.11E-06,0.106298015
0.207962453,0.200960383,0.113646336,2.89E-06,0.108467281
0.225317478,0.205949053,0.115584642,2.63E-06,0.106012754
0.210466251,0.21081461,0.115521342,2.56E-06,0.102220908
0.207025662,0.211073697,0.113910168,2.54E-06,0.107893184
0.218743041,0.214359,0.116569012,2.25E-06,0.105987981
0.215561882,0.199711874,0.113259904,2.09E-06,0.105834834
0.22035642,0.202016562,0.114355221,1.93E-06,0.105503485
0.21182178,0.200652301,0.116422966,1.89E-06,0.098034956
0.221791521,0.197855398,0.116730824,1.73E-06,0.105819009
0.225217804,0.204629347,0.110289276,1.57E-06,0.105504364
0.213940963,0.208643571,0.105485991,1.56E-06,0.104651384
0.22034052,0.199760258,0.112505637,1.42E-06,0.104989931
0.204857394,0.20855163,0.11648041,1.30E-06,0.103795759
0.208154768,0.19826135,0.113040306,1.28E-06,0.105445117
0.206427157,0.202136055,0.114825249,1.15E-06,0.107059009
0.211907476,0.210457712,0.118685275,1.19E-06,0.106736936
0.215589255,0.213017642,0.112059288,1.05E-06,0.111922033
0.217976555,0.215362489,0.114537217,9.68E-07,0.110750176
0.207665846,0.208384737,0.113904066,1.01E-06,0.106458329
0.213577405,0.203561082,0.116472892,8.52E-07,0.108158953
0.220177054,0.214573741,0.119082019,8.38E-07,0.105006561
0.218476042,0.220234215,0.111765288,7.83E-07,0.110244684
0.213634402,0.209943071,0.115201443,7.13E-07,0.110480353
0.213974968,0.212685198,0.112501957,6.88E-07,0.106475629
0.211497933,0.202268481,0.117909707,6.82E-07,0.111440562
0.209208503,0.205530778,0.113789059,6.36E-07,0.10471651
0.20808892,0.209524095,0.114992082,5.80E-07,0.109856941
0.210671335,0.205406591,0.113957368,5.87E-07,0.10658583
